"","text","sentiment"
"1","Was LHHATL star Tommie Lee kicked off of a flight for being drunk httpstcoVqroTaoAQn DeltaAirlines Delta","Negative"
"2","RT AdvancedATeasa DeltaAirlines orders 30 additional A321s httpstcoykvDjTPGw3 Airbus aviation avgeek httpstcoGC1zz8zcBP","Neutral"
"3","RT AdvancedATeasa DeltaAirlines orders 30 additional A321s httpstcoykvDjTPGw3 Airbus aviation avgeek httpstcoGC1zz8zcBP","Neutral"
"4","DeltaAirlines orders 30 additional A321s httpstcoykvDjTPGw3 Airbus aviation avgeek httpstcoGC1zz8zcBP","Neutral"
"5","RT brod44 CharlesDanielWx spann A beautiful morning at BHM DeltaAirlines httpstcoHOBB9r6NON","Positive"
"6","Delta Air Lines Raises Dividend By 51 Approves $5 Billion Buyback httpstco6lkJqBwog9 $DAL DeltaAirLines","Neutral"
"7","RT FakeDeltaAir We sincerely apologize it has come to this If it werent for misguided agents none of this would be necessary DeltaAi","Neutral"
"8","Clutch biscoff deltaairlines editingsnack cjlmediagroup raleighvideographer wacom httpstcov6m8i0bmjX","Neutral"
"9","Delta TWICE your airline has lost my friends bags both times with camera equipment in them Whats up deltaairlines","Negative"
"10","RT NeriumDad Air Travel Mistakes That Are Costing You Hundreds | httpstcoEJYQdhjnsb | DeltaAirLines httpstcocMTNeLcpV6","Negative"
"11","Air Travel Mistakes That Are Costing You Hundreds | httpstcoEJYQdhjnsb | DeltaAirLines httpstcocMTNeLcpV6","Negative"
"12","After getting through the TSA security check feeling like DeltaAirlines unitedAIRLINES  HawaiianAirlines httpstco1GhcjY4YYb","Positive"
"13","RT MeredithLEaton The customers need to come first to protect both brand reputation and customer loyalty httpstcoGkpu2gPD6o Crisi","Positive"
"14","Nose shot of a Delta A320 lifting out of  MBJAIRPORTdelta deltaairlines avgeek aviation pilots a320pilot httpstcoa8o1h18w7S","Neutral"
"15","Aeroplan  AirCanada Unitedairlines  Understand your customer needsflights flying DeltaAirlines httpstco85R06SYFyW","Neutral"
"16","RT brod44 CharlesDanielWx spann A beautiful morning at BHM DeltaAirlines httpstcoHOBB9r6NON","Positive"
"17","RT FakeDeltaAir At least we now have a great video to use in our new Leadership Training Course that will be required for all agents De","Positive"
"18","RT FakeDeltaAir Jenna hun you were simply confused about airline and FAA rules She is getting the much needed training she needs now","Negative"
"19","DeltaAirlines Delta customerexperience who else has had an experience with Delta owing a refund and not following through","Neutral"
"20","RT MeredithLEaton The customers need to come first to protect both brand reputation and customer loyalty httpstcoGkpu2gPD6o Crisi","Positive"
"21","RT MeredithLEaton The customers need to come first to protect both brand reputation and customer loyalty httpstcoGkpu2gPD6o Crisi","Positive"
"22","The customers need to come first to protect both brand reputation and customer loyalty httpstcoGkpu2gPD6o CrisisComms DeltaAirlines","Positive"
"23","Its not hard Agents need to brush up on their people skills amp know FAA airline rules amp regulations Please amp thank you DeltaAirlines","Positive"
"24","Our lying agents are rude amp disrespectful Customer Care is a joke This must change Training for these agents a must NOW DeltaAirlines","Very Negative"
"25","We sincerely apologize it has come to this If it werent for misguided agents none of this would be necessary httpstcovtWUhECVvP","Neutral"
"26","DevonESawa That is so wrong We sincerely apologize Another misguided agent on the loose it appears DeltaAirlines","Very Negative"
"27","Last 3 flights Ive taken with DeltaAirlines have been delayed thanksobama","Negative"
"28","RT brod44 CharlesDanielWx spann A beautiful morning at BHM DeltaAirlines httpstcoHOBB9r6NON","Positive"
"29","CharlesDanielWx spann A beautiful morning at BHM DeltaAirlines httpstcoHOBB9r6NON","Positive"
"30","Great service DeltaAirlines iadjfk greatservice ajay120777","Positive"
"31","1000hrs Dulles Airport washingtondc to JFK  surprised by the amazing service received by the Delta ground staff grtsv DeltaAirlines","Neutral"
"32","horatiofresh Flint Bishop is the only way to fly deltaairlines","Neutral"
"33","Kicking families with infants off of flights now and lying about company policy Way to go Delta DeltaAirlines","Negative"
"34","Delta 2 hours later and were still on the runway while they fix a leak they knew about before boarding Wth DeltaAirlines","Negative"
"35","Delta Nothing like losing a day on your honeymoon flight2910 DeltaAirlines rescheduled","Neutral"
"36","Delta gate rep offered to get me an espresso Now that is service DeltaAirlines notunited deltashuttle","Neutral"
"37","Delta where they board the whole plane then tell you that theres a leak that theyre working on and make you sit and wait���� DeltaAirlines","Negative"
"38","RT MortyFied delta threw these two unruly passengers off a red eye httpstcopSnLzbdJqu DeltaAirlines UnitedAirlines httpstc","Negative"
"39","From one of the dispatchers Delta s OCC Pls tell WaffleHouse to upgrade their phone system LOVE YALL BOTH httpstcoG3jrtF97Jn","Positive"
"40","I guess Delta forgot that we arent in 1998 anymore with their printing process Innovation anyone DeltaAirlines httpstcoEH9PPHVgy4","Positive"
"41","RT sugarmagnolia28 AmericanAirlines  we kicked off a blind lady   United  we can beat that  dragged a doctor off DeltaAirlines ","Very Negative"
"42","Delta now pulling people off airplanes for being gay and Mexican TSA not cool  deltaairlines httpstcoLnxqym16DS","Neutral"
"43","deltaairlines should include no recline in the remarks Ill be sitting fully upright for an overnight cross country flight","Neutral"
"44","deltaairlines reminding me why I dislike them Paid $55 to upgrade to an exit row only to learn they didnt mention the seat wont recline","Negative"
"45","RT WhitneyonTV AirRage is becoming a thing these days How professionals say you can cope with it united southwestairlines spirit ","Neutral"
"46","AirRage is becoming a thing these days How professionals say you can cope with it united southwestairlines httpstcoS2o17XCADD","Neutral"
"47","RT southerncagna Flying tomorrow Figured Id go ahead and give myself a black eye amp fat lip so theyll think they already got me Delta","Negative"
"48","Flying tomorrow Figured Id go ahead and give myself a black eye amp fat lip so theyll think they already got me DeltaAirlines Southwest","Negative"
"49","Delta Family kicked off Delta flight and threatened with jail for not giving up their childs seat httpstco6CQvtF4VUp DeltaAirlines","Neutral"
"50","Delta DeltaAirlines is the absolute worse Guess some things you hear on the news is true","Negative"
"51","I forgot to add the picturethis is MY normal Delta experience nodrama wontgoviral I ❤️Delta DeltaAirlines httpstcowedk1PsQ3T","Negative"
"52","My favorite sign on an aircraft isUse bottom cushion for floatation������ Airlines deltaairlines cushion","Positive"
"53","Good news for DeltaAirlines Excellent service today helping with wheelchairs atlantaairport fly2ohare","Positive"
"54","DeltaAirlines you are the best Thank you for making travel miracles happen The staff at Delta are incredibly patient amp kind Thank you","Very Positive"
"55","RT morrisr808 so Sad RIP airlines customer services deltaairlines UnitedAirlines AmericanAirlines httpstco9pcoizfPAb","Very Negative"
"56","RT MortyFied delta threw these two unruly passengers off a red eye httpstcopSnLzbdJqu DeltaAirlines UnitedAirlines httpstc","Negative"
"57","On my way to Zurich Switzerland with deltaairlines travel delta travelpics travelfun httpstco8WoKuuVk4I","Neutral"
"58","RT NightshiftWorkr going on a flight soon better not forget the essentials Flying Airlines SouthwestAirlines UnitedAirlines deltaa","Positive"
"59","RT Candidshotz httpstcoGeNKRwmuSq DeltaAirlines Shame on you Fire the stewardess","Negative"
"60","RT DavierR This Delta flight attendant harassed me on flight 1944 Told me to go back to Cuba because of my political affiliation Delt","Negative"
"61","RT RecursosEnergia Delta says pilot who struck a passenger was trying to break up a fight httpstcoetWXDkeBgc deltaairlines uniteda","Very Negative"
"62","LOTS changing at LAX Stay up to date here  httpstcoKp5vTgcHBu deltaairlines altourmusic","Neutral"
"63","RT baumlawoffices DeltaAirlines wont help me on twitter wont answer email and makes me hold a half hour when I call What to do De","Positive"
"64","RT RecursosEnergia Delta says pilot who struck a passenger was trying to break up a fight httpstcoetWXDkeBgc deltaairlines uniteda","Very Negative"
"65","RT drterrimd DeltaAirlines FYI This IS what a doctor looks likeWhataDoctorLooksLikeImwithDrCrosshttpstcoYO7edxyTmw httpstc","Neutral"
"66","RT BreSkittyHere AmericanAirlines kicks blind woman and guide dog off planeunitedairlines beats up doctor and kicks off planeDel","Negative"
"67","My latest article customerservice deltaairlines UnitedAirlines httpstcovVCYaMVwnN Wait till the next article You wont believe it","Neutral"
"68","Another Wednesday another airplane race southwestsoslow deltaairlines delta atlanta httpstcoE9TT4hpKSK","Neutral"
"69","Im driving or taking a boat WHEREVER I GO ����DeltaAirlines ����unitedAIRLINES ����ALLAIRLINES","Neutral"
"70","RT BreSkittyHere AmericanAirlines kicks blind woman and guide dog off planeunitedairlines beats up doctor and kicks off planeDel","Negative"
"71","Be sure to see us for ALL of your uniform needsdeltapilots DeltaAirlines USNavy flynavy airlinepilots","Neutral"
"72","RT BreSkittyHere AmericanAirlines kicks blind woman and guide dog off planeunitedairlines beats up doctor and kicks off planeDel","Negative"
"73","Supporting a good cause Delta airlines relay for life fightcancer deltaairlines  relayforlife jfkaccdep118 httpstco7ofFzFyltF","Positive"
"74","Supporting a good cause Delta airlines relay for life fightcancer deltaairlines httpstco3TmEKzSjJ8","Positive"
"75","Delta  Airlines Shit policies shit employees shit Hope your numbers fail like you failing paying customers DeltaFail DeltaAirlines","Very Negative"
"76","RT devvincorrwin BoycottDelta DeltaAirlinesman gets kicked off plane for speaking his native languagethe white people on the plan","Neutral"
"77","RT anishbhutani Wow Delta your employee breaking your policy Delta DeltaAirlines httpstcoCEurx0S3ew httpstcoIrk3oMd59s","Neutral"
"78","HeatherLGillman That sounds SO wrong We sincerely apologize DeltaAirlines","Negative"
"79","RT FakeDeltaAir Note to self Stop hiring former United employees as agents They are not helping matters at all Our apologies to all ","Neutral"
"80","RT FakeDeltaAir At least the passengers werent literally dragged off the plane like with United Even so we sincerely apologize Del","Neutral"
"81","Thank you DeltaAirlines  for Support of RelayforLife in your terminals Brought tears as this trip was for caring for Mom wCancer  ��������","Positive"
"82","RT FakeDeltaAir We would like to take a moment to sincerely apologize to all customers affected by our misguided agents We must do bette","Neutral"
"83","Alternate use for Nicorette gum Removing celery strings from teeth DeltaAirlines SkyClub BoredToTears ForgotToothPicksAtHome","Neutral"
"84","Yo whats up with all these airline companies First UnitedAirlinesAssault  then DeltaAirlines spiritairlines AND NOW  Southwest ����","Neutral"
"85","RT HtraeReporter BusinessNews DeltaAirlines am boot passenger for GoingPotty httpstcoTvMT9VLEAS httpstcoZRtfO7n0F1","Neutral"
"86","DeltaAirlines Thanks for a great customer service experience just now via phone Well done","Very Positive"
"87","RT sojoelboy Family kicked off plane wo breaking FAADeltaAirlines regulations Disappointing how it was handled by Deltahttpstco","Very Negative"
"88","Creepy appreciates that DeltaAirlines made him a special window perch  creepersgonnacreep httpstcocybdJFWOgC","Negative"
"89","last week but DeltaAirlines is the new UnitedAirlines FYI airline staff were incorrect on FA regulations httpstcoYn3WJ9N2Sr","Negative"
"90","Looks like its time to start boycotting Delta now too Overbooked flight and kicked ppl off Wtf is going on DeltaAirlines","Positive"
