"","text","sentiment"
"1","josethedj Are you asking if we can waive the baggage fee if youre checking an empty suitcase","Negative"
"2","RedsArmyJohn JetBlue runway pics IT reppin a Sonics hat keep the thunder is OKC����","Neutral"
"3","JetBlue I cant book a flight  LASSFO 623626 httpstcoWys1gLp6ly","Neutral"
"4","Are airlines letting old technology abuse their disabled passengers Yes httpstco0VlyH4Cznq Delta JetBlue SouthwestAir united","Very Negative"
"5","JetBlue is there any consideration for traveling with an empty suitcase instead of having to pay $25 each way","Negative"
"6","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"7","sundancercs Love hearing this","Positive"
"8","RT AirfareSpot Late Summer Orlando to SanJose CostaRica for $293 RT nonstop JetBlue httpstcoBV24aNc3lO","Neutral"
"9","Aviation JetBlue boosts FloridaMexico City services httpstcolPK9ewIebw","Neutral"
"10","danibev Oh good","Positive"
"11","RT DGoodison JetBlue to serve icecream from Cambridges Toscaninis on JetBlueMint flights departing from BostonLogan BostonHeral","Neutral"
"12","JetBlue Shoutout Brian crew member today Fll 2 Orh  Greeted me at seat  thanked me4loyaltyAwesome  applaud his attention appreciated","Positive"
"13","JetBlue It finally worked 5th times the charm","Positive"
"14","JetBlue Is Adding a Cool New Perk to Its Los Angeles Flights httpstcoPhYKTlfmPM via PeopleFood","Positive"
"15","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"16","danibev Oh no Have you tried switching browsers and clearing your cache and cookies What city pairs and dates are you trying to book","Neutral"
"17","BeastlyDoyleMan OMG But also you should delete that for security purposes But also","Neutral"
"18","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"19","Hey JetBlue why is your website taking soOoOoOo long to load This is my 5th time trying to buy the same flight �������� annoyed","Negative"
"20","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"21","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"22","SpiritAirlines WeAreALPA JetBlue united VirginAmerica SouthwestAir AND last but not least I can confirm httpstcohOxz58mHdT","Neutral"
"23","I just want to express both great gratitude and concern to JetBlue for such a memorably uncomfortable confirmation httpstcoMaonT3TvXS","Neutral"
"24","RT DGoodison JetBlue to serve icecream from Cambridges Toscaninis on JetBlueMint flights departing from BostonLogan BostonHeral","Neutral"
"25","celtics JetBlue Gives pride to see the Celtics play well","Very Positive"
"26","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"27","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"28","JetBlue to serve icecream from Cambridges Toscaninis on JetBlueMint flights departing from BostonLogan BostonHerald tosci Boston","Neutral"
"29","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"30","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"31","ThomasCookCares not miss the connection as the other option was that same JetBlue flight Saturday with the sam httpstcouqZIEy6WvM","Neutral"
"32","RT Americaairlanes You win this round JetBlue but wait til next time httpstcoLCzj5tAeN8","Positive"
"33","ThomasCookCares to actually explain Furthermore no compensation was offered no help was offered JetBlue have httpstcoZWk0gA471p","Neutral"
"34","RT lschiffer A better shot of the JetBlue plane honoring the Bravest NYFD NYC httpstcoj3iDli1528","Positive"
"35","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"36","RT MileHye I only get to see my family twice a year and thanks to JetBlue that will be once a year iHateJetBlue","Neutral"
"37","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"38","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"39","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"40","Passed Gronk in JetBlue terminal at BOS and for the first time in my life I regret not having a copy of A Gronking To Remember","Neutral"
"41","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"42","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"43","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"44","ThomasCookCares Jetblue advised me that they would call Thomas Cook for me from their desk The Thomas Cook repres httpstcoV70D40Tzf3","Neutral"
"45","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"46","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
"47","RT HOT97 Best places to work cc nessnitty 1 Costco 2Google3UnitedServices 4Jetblue 5Facebook 6 REI httpstco3zXG","Positive"
"48","RT celtics Relive the best plays from Wednesday nights Round 2 victory brought to you by JetBlue httpstcowfjpvn68Zd","Very Positive"
